Title,Type,Platforms
Venom: The Last Dance,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Le Robot sauvage,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Alien : Romulus,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Substance,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Terrifier 3,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Deadpool & Wolverine,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Transformers: Le Commencement,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Vice-versa 2,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
"Moi, moche et méchant 4",Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Beetlejuice Beetlejuice,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Azrael,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
My Hero Academia: You’re Next,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
La Plateforme 2,Movie,"Netflix, Netflix basic with Ads"
Venom,Movie,"Netflix, Netflix basic with Ads"
Heavenly Touch,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Venom: Let There Be Carnage,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Les Noces funèbres,Movie,Max
Terrifier,Movie,"Shadowz, Insomnia Amazon Channel, Shadowz Amazon Channel"
Hellboy: The Crooked Man,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Survivre,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Survivre,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
L'Ombre rebelle,Movie,"Netflix, Netflix basic with Ads"
The Silent Hour,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Smile 2,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Transmorphers: Mech Beasts,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Outside,Movie,"Netflix, Netflix basic with Ads"
Bad Boys: Ride or Die,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Joker : Folie à deux,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Smugglers,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Winnie-the-Pooh: Blood and Honey 2,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Kamp Frayeur,Movie,"Paramount Plus, Paramount+ Amazon Channel, Paramount Plus Apple TV Channel "
Operation Black Ops,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
Terrifier 2,Movie,"Shadowz Amazon Channel, Molotov TV"
"Flow, le chat qui n'avait plus peur de l'eau",Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
The Crow,Movie,"N, o, n,  , d, i, s, p, o, n, i, b, l, e,  , e, n,  , F, r, a, n, c, e"
À contre-sens,Movie,Amazon Prime Video
